doc_num,doc_idx,category,layer,head,tokens,budget,budget_frac,H_mean,frac_H_ge_090,mu_s_norm_cv,full_norm_cv,mass_gap,UTC_abs_gap,UTC_rel_gap,predicted,actual,correct,delta_rel_abs,oracle_mean_k,mass_mean_k,abs_mean_k,rel_mean_k,budget_ok
0,13,sci.space,0,0,128,16,0.125,0.9666764908942366,0.9609375,0.20609250583066846,0.09410880046039409,0.10907960025408425,0.3763564029985217,0.4325496969655102,abs,rel,False,0.05619329396698852,19.734375,16.59375,16.6953125,15.8671875,False
0,13,sci.space,0,0,128,32,0.25,0.9666764908942366,0.9609375,0.18740733440826524,0.09410880046039409,0.09300349661587456,0.4408172662965217,0.6079809043618954,abs,rel,False,0.16716363806537377,40.5,33.328125,30.3984375,30.328125,False
0,13,sci.space,0,0,128,48,0.375,0.9666764908942366,0.9609375,0.16712121258950174,0.09410880046039409,0.32818342631534453,0.5852552567155412,1.0925108623565165,abs,rel,False,0.5072556056409753,40.5,47.1640625,45.9140625,50.9453125,False
0,13,sci.space,0,1,128,16,0.125,0.8554423756255443,0.234375,0.19588164007685438,0.252564604743478,0.7222338228013965,0.43749003917603585,0.5567040101321348,abs,rel,False,0.11921397095609892,16.984375,16.2265625,15.84375,16.890625,True
0,13,sci.space,0,1,128,32,0.25,0.8554423756255443,0.234375,0.2025722968201271,0.252564604743478,0.707081537907911,0.6487449830662787,0.688481829918957,abs,rel,False,0.03973684685267831,30.7734375,30.5703125,32.40625,30.8046875,True
0,13,sci.space,0,1,128,48,0.375,0.8554423756255443,0.234375,0.21474571213711788,0.252564604743478,0.5372118044355537,0.38922901202102067,0.6660944869593722,abs,rel,False,0.27686547493835156,66.1328125,45.7578125,42.921875,47.1796875,False
0,13,sci.space,0,2,128,16,0.125,0.4536419171204019,0.0,0.4504585586817664,0.4739384931003813,0.8717415239003062,0.5279995167624165,0.9179893291631215,abs,rel,False,0.38998981240070496,12.8828125,16.9453125,16.640625,13.828125,False
0,13,sci.space,0,2,128,32,0.25,0.4536419171204019,0.0,0.4637312908914443,0.4739384931003813,1.253479599272499,1.0925682247054431,1.4807076843874403,rel,rel,True,0.38813945968199715,12.8828125,31.9609375,35.9453125,42.96875,False
0,13,sci.space,0,2,128,48,0.375,0.4536419171204019,0.0,0.4688888013040989,0.4739384931003813,1.6937301600793588,1.1368427677890542,1.7106258139697954,rel,rel,True,0.5737830461807412,12.8828125,53.796875,35.9453125,42.96875,False
0,13,sci.space,0,3,128,16,0.125,0.38366162960468875,0.0,0.26314263727884507,0.2739045049384542,0.9662376635524774,0.9411145954209318,1.0709636960297997,abs,rel,False,0.1298491006088679,6.5703125,17.625,11.7421875,12.734375,False
