doc_num,doc_idx,category,layer,head,tokens,budget,budget_frac,fixed_mean_k,fixed_max_rel,fixed_mean_rel,oracle_threshold,oracle_mean_k,oracle_min_k,oracle_max_k,oracle_max_rel,oracle_mean_rel,mass_threshold,mass_mean_k,mass_min_k,mass_max_k,mass_max_rel,mass_mean_rel,UTC_abs_threshold,UTC_abs_mean_k,UTC_abs_min_k,UTC_abs_max_k,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_rel_threshold,UTC_rel_mean_k,UTC_rel_min_k,UTC_rel_max_k,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_hat_threshold,UTC_rel_hat_mean_k,UTC_rel_hat_min_k,UTC_rel_hat_max_k,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,mass_gap,UTC_abs_gap,UTC_rel_gap,UTC_rel_hat_gap,rel_hat_beats_abs_rel,rel_hat_below_fixed,rel_hat_beats_mass,oracle_below_fixed
0,13,sci.space,0,0,128,8,0.0625,8.0,1.8083576571648385,1.1567658303690536,1.1964400935358424,8.0,3,29,1.1964400935358421,1.1303046033478603,0.8559402607224391,8.0,2,11,1.8141754799629815,1.1830646326584777,2.203549933599667,8.0,3,19,1.5859464425378837,1.1473816649831088,0.7095746662560565,8.0,3,53,1.62965274290545,1.201476304290909,1.3919387445540865,8.0,4,20,1.3915995666221481,1.1393499379582344,-0.00950752706563958,0.36346597621408033,0.29204083177409307,0.681069012092239,True,False,True,True
0,13,sci.space,0,0,128,16,0.125,16.0,1.4613517654291426,0.8584072522848788,0.8845002750850433,16.0,4,46,0.8845002750850433,0.848593194654869,0.7419652123189018,16.0,6,21,1.3871515680327342,0.8750862349614881,1.603143457439738,16.0,5,32,1.2231641022258106,0.854771886257646,0.5949906360697025,16.0,7,60,1.1671145952906707,0.8861172970626565,1.0009171051063723,16.0,6,41,0.9864778438002979,0.8557470887889715,0.12862963629017757,0.4129098514788442,0.5100743866726523,0.8232169450504085,True,False,True,True
0,13,sci.space,0,0,128,32,0.25,32.0,1.1272041658040686,0.5722508049853675,0.5698704338938979,32.0,11,58,0.569870433893898,0.5587752123674885,0.5599445363675137,32.0,14,40,1.0674764881348446,0.5714213561585295,1.0283403157188882,32.0,15,50,0.8369301168033796,0.5609088571162447,0.4474125100063506,32.0,15,70,0.6974178462781898,0.5698394440586589,0.6280585793337694,32.0,14,57,0.6506546991322316,0.5610958416530973,0.10716680912981356,0.5208262704750024,0.7711471510128343,0.8550522593321982,True,False,True,True
0,13,sci.space,0,1,128,8,0.0625,8.0,2.341296964666019,1.212255485249338,1.3078223197676506,8.0,1,22,1.307822319767651,1.2254545971537318,0.68824299603012,8.0,1,20,1.944971577796398,1.2588965467627875,1.5889872058211054,8.0,1,14,1.8693489058494976,1.2254711616635219,0.7223588040710948,8.0,1,27,2.3055922827842723,1.2893333539419785,1.6488598840414177,8.0,1,17,1.7384557944347612,1.2315945518678975,0.38348825375255874,0.45666147800165213,0.03454819337658525,0.5833149107306269,True,False,True,True
0,13,sci.space,0,1,128,16,0.125,16.0,1.5657014870387984,0.7933863584162398,0.8174179298677752,16.0,3,40,0.8174179298677753,0.7884131654962998,0.5185779578862606,16.0,3,37,1.0125348072909561,0.7978042614155878,1.0053072722471643,16.0,6,25,1.222327520061075,0.7807177940148143,0.5680822295620528,16.0,1,46,1.2381833869477337,0.8156764778434904,0.9942128723044453,16.0,3,35,1.024206288031136,0.7879448521695452,0.7392474075458187,0.4588821492695768,0.43769249898967005,0.7236497365448611,True,False,False,True
0,13,sci.space,0,1,128,32,0.25,32.0,0.9753449713491469,0.4489730008175614,0.45068518747234826,32.0,6,64,0.45068518747234826,0.4399486061521675,0.31358118208398156,32.0,7,61,0.6075090872973696,0.44253774341872465,0.5519899146938309,32.0,13,51,0.6581773807087586,0.43654063649794045,0.3747264079667875,32.0,6,65,0.5953195818548878,0.44648338620824535,0.5171175125827078,32.0,7,61,0.5215329226298597,0.4432657439843871,0.7010941096605053,0.604520491921039,0.7243272710673347,0.8649644258341935,True,False,True,True
0,13,sci.space,0,2,128,8,0.0625,8.0,0.8330376158865982,0.22494015982393267,0.24297117933398518,8.0,1,69,0.24297117933398538,0.21760766938203177,0.20781175852199274,8.0,1,61,0.4064454996417693,0.22026344471772694,0.4444117857897162,8.0,1,21,0.702399756240677,0.2288115806072782,0.20197676735083214,8.0,1,84,0.27068936238592645,0.22159187998313903,0.23778703532892156,8.0,1,79,0.305845510802401,0.22046538128261065,0.7229560771785943,0.22139517104066467,0.9530253182779197,0.8934453350104934,False,False,True,True
0,13,sci.space,0,2,128,16,0.125,16.0,0.5699667042337444,0.12464698915324607,0.12369533174943646,16.0,1,99,0.12369533174943646,0.11495739302714438,0.11605345603104567,16.0,1,83,0.2268807144989132,0.11736338932971827,0.2400937670902304,16.0,1,66,0.37737920069854897,0.12513691160045703,0.11027816230283409,16.0,1,101,0.15668855651423252,0.11567891869441799,0.12038473250434555,16.0,1,100,0.15668855651423252,0.11556663820352034,0.7687833253227441,0.43154796702082276,0.9260691435770817,0.9260691435770817,True,False,True,True
0,13,sci.space,0,2,128,32,0.25,32.0,0.4204720927577149,0.052634528427852,0.04718903866793274,32.0,1,115,0.047189038667932816,0.04518232650437967,0.04675800246534212,32.0,1,105,0.08914471261711074,0.04604414991504452,0.0937249760928042,32.0,2,102,0.15668855651423252,0.049126010959647234,0.04439517642655425,32.0,1,115,0.054473659125737664,0.045531305087513796,0.045987756093248296,32.0,1,115,0.054473659125737664,0.04552585605764231,0.8876035933335277,0.7066582137962178,0.9804849955603591,0.9804849955603591,True,False,True,True
0,13,sci.space,0,3,128,8,0.0625,8.0,1.2766217257020362,0.10704034154656723,0.12268433716574452,8.0,1,121,0.12268433716574459,0.10903125239951118,0.11184337681763523,8.0,1,97,0.27614181835101537,0.10739706978608701,0.30046695327681405,8.0,2,90,0.2980625574408896,0.10653692597471773,0.11108064138042414,8.0,1,121,0.14319474759225462,0.11121116694269523,0.12325185063038964,8.0,1,121,0.14319474759225462,0.11091999892679949,0.8670140315152425,0.8480175596896095,0.9822257163774489,0.9822257163774489,True,False,True,True
0,13,sci.space,0,3,128,16,0.125,16.0,1.0910462517829325,0.05728099744042341,0.05271437898879221,16.0,4,124,0.052714378988792276,0.04949487055336728,0.052681180685772655,16.0,3,111,0.1884360336140228,0.05123931487523388,0.13851571086090186,16.0,3,118,0.14638244217873023,0.050530213415221,0.0512494698371157,16.0,3,124,0.08951285509062074,0.050800153071140525,0.05360038975065127,16.0,3,124,0.08951285509062074,0.050792153942813986,0.869288752294577,0.9097898604057312,0.9645600052680612,0.9645600052680612,True,False,True,True
0,13,sci.space,0,3,128,32,0.25,32.0,0.7555078334328945,0.025520088540980097,0.018547641020795445,32.0,4,127,0.018547641020795445,0.01781105051526179,0.01905720672606348,32.0,4,121,0.10406683730549555,0.018662375339136773,0.050556871745982036,32.0,4,124,0.052373310276444186,0.01834172833163815,0.018607540999839314,32.0,4,127,0.02153237967944294,0.017917060060298702,0.01889194528304008,32.0,4,127,0.02153237967944294,0.017917939967258545,0.8839568308231242,0.9541010903927714,0.9959499323174046,0.9959499323174046,True,False,True,True
0,13,sci.space,0,4,128,8,0.0625,8.0,2.2810680847349527,1.280137614298289,1.3231039113189194,8.0,1,19,1.323103911318919,1.2566037679694786,0.8365699175591851,8.0,1,13,2.2810680847349527,1.2853474616461296,1.7750079191994963,8.0,1,23,1.6255046526947066,1.2952410584846046,0.8316263529845807,8.0,1,17,2.2812581805588246,1.323252877896224,1.481887088545581,8.0,1,22,1.5811330341466308,1.2834358772453247,0.0,0.6843298008761146,-0.00019843729979378283,0.7306484626584752,True,False,True,True
0,13,sci.space,0,4,128,16,0.125,16.0,1.4042085199428236,0.9406652896628704,0.9395104932322259,16.0,1,38,0.9395104932322258,0.9072507876338223,0.7185380426864326,16.0,1,24,1.6560618306432289,0.9421298015387959,1.2721139921150428,16.0,1,38,1.1656457389716923,0.9276274730074066,0.7035332039793143,16.0,1,30,1.6214706703706425,0.9408362937993455,1.0556224268998076,16.0,1,35,1.1060258584377423,0.9211440121079773,-0.5419719822852899,0.5133716247082369,-0.46753404994147807,0.6416697389825199,True,False,True,True
0,13,sci.space,0,4,128,32,0.25,32.0,1.0303981028285532,0.6185797116186434,0.6102319341150441,32.0,1,56,0.6102319341150441,0.5961592319542731,0.534758509328543,32.0,1,43,1.0625018991948603,0.6264886487407193,0.8286099954944876,32.0,6,53,0.7602838876985447,0.6070632891789591,0.5312671626746024,32.0,1,53,0.8692133850377091,0.6105965007204783,0.683412431288086,32.0,1,53,0.7058793386427957,0.603875153845867,-0.07640738059564509,0.6428747368143917,0.3836213617206961,0.7723581486329305,True,False,True,True
0,13,sci.space,0,5,128,8,0.0625,8.0,1.5507248103650126,0.9708140659073632,1.025300556009998,8.0,1,17,1.0253005560099988,0.9604197731695369,0.6198908905252152,8.0,2,20,1.533543536000142,0.9911142887585374,1.6478797361014135,8.0,1,15,1.7121852359985636,0.9731144484751069,0.624482109006719,8.0,2,25,1.2987523502703326,0.9992840843792834,1.2357818868999673,8.0,2,15,1.202493966758359,0.9686277874725746,0.03269981205180876,-0.3072953414222422,0.47956000889983574,0.6627612652448364,True,False,True,True
