doc_num,doc_idx,category,layer,head,tokens,budget,budget_frac,fixed_mean_k,fixed_max_rel,fixed_mean_rel,oracle_threshold,oracle_mean_k,oracle_min_k,oracle_max_k,oracle_max_rel,oracle_mean_rel,mass_threshold,mass_mean_k,mass_min_k,mass_max_k,mass_max_rel,mass_mean_rel,UTC_abs_threshold,UTC_abs_mean_k,UTC_abs_min_k,UTC_abs_max_k,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_rel_threshold,UTC_rel_mean_k,UTC_rel_min_k,UTC_rel_max_k,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_hat_threshold,UTC_rel_hat_mean_k,UTC_rel_hat_min_k,UTC_rel_hat_max_k,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,mass_gap,UTC_abs_gap,UTC_rel_gap,UTC_rel_hat_gap,rel_hat_beats_abs_rel,rel_hat_below_fixed,rel_hat_beats_mass,oracle_below_fixed,worst_query,worst_token,k_fixed,k_oracle,k_mass,k_abs,k_rel,k_rel_hat,worst_k_deficit_vs_oracle,rel_hat_rows_below_oracle,rel_hat_rows_above_oracle,rel_hat_missing_tokens_vs_oracle,rel_hat_extra_tokens_vs_oracle,rel_hat_row_rel,fixed_row_rel,oracle_row_rel,mass_row_rel,abs_row_rel,rel_row_rel,full_norm,mu_s_norm,o_hat_norm,true_abs,proxy_abs,true_rel_at_rel_hat_k,proxy_rel_hat_at_rel_hat_k,score_ratio,numerator_ratio,denom_ratio,dropped_mass,true_centroid,utc_centroid,oracle_true_rel_at_oracle_k,failure_class
0,13,sci.space,11,6,128,8,0.0625,8.0,1.0911242750266956,0.8030348132804388,0.8103769017019234,8.0,1.0,15.0,0.8103769017019236,0.7598854811849155,0.2998705276126099,8.0,4.0,32.0,1.2415674654525553,0.8190471698877404,0.8012866228445401,8.0,4.0,41.0,1.2415674654525553,0.8217015820555229,1.509637843644313,8.0,1.0,17.0,2.757243419322048,0.8511701720402756,0.919499360388713,8.0,3.0,12.0,1.1818665086366,0.7883652150845752,-0.5358667781793458,-0.5358667781793458,-5.934584977819062,-0.3232166788785328,True,True,True,True,121,are,8,10,5,5,6,7,3,63,36,132,132,1.1818665086366,0.8675614692507644,0.7470807062808437,1.205412537511473,1.205412537511473,1.1885640403602906,0.23912740395650012,0.24021110971905424,0.2609138931731866,0.28261667003458457,0.22808660990965268,1.1818665086366,0.874183460048184,0.7396634507021452,0.8070529239514925,1.0911082914593868,0.0832854803301748,3.393348623483786,2.7386119285790516,0.7470807062808436,mild_score_miscalibration_starvation
1,17,rec.autos,0,11,128,8,0.0625,8.0,1.1543445162916175,0.8487996599768765,0.9289896279079902,8.0,1.0,13.0,0.9289896279079901,0.8760143651509654,0.5095876129279538,8.0,1.0,13.0,1.1075139259042555,0.8907712051277811,1.1971542425338673,8.0,1.0,15.0,1.0417084312098963,0.8669448870951315,1.0418260563447235,8.0,1.0,21.0,3.8299401013558922,1.3376895910831728,0.9669947432975439,8.0,1.0,13.0,1.3306585125139387,0.8798801788327244,0.20780818522845232,0.4998164712095257,-11.872809168929765,-0.7823837214579407,False,True,False,True,26,here,8,7,9,7,1,4,3,32,30,42,42,1.3306585125139387,0.7883201419408363,0.8588455396150904,0.7329526185976357,0.8588455396150904,3.2248969305787876,0.9797981868887193,1.7973265709884387,1.598656450523165,1.3037767979305284,1.542134595514936,1.330658512513939,0.9646441516620429,0.7249374220278871,1.1828210150399727,1.631618094332217,0.6718818289231232,1.9404852785201707,2.295246766811113,0.8588455396150906,denom_overestimate_starvation
1,17,rec.autos,6,1,128,8,0.0625,8.0,0.7766191380536617,0.4980705633828597,0.6020917313463956,8.0,1.0,26.0,0.6020917313463956,0.5559354132817228,0.09115849307018087,8.0,1.0,60.0,0.9634598545526134,0.6108037386657701,0.4459481491622981,8.0,1.0,57.0,0.9645663373694547,0.620426443308007,0.906592368189628,8.0,1.0,35.0,1.9417878226967185,0.5915298225208768,0.5870843345036629,8.0,2.0,36.0,1.0139133563730336,0.5343562425480441,-1.0705522990571832,-1.0768921790663855,-6.676135895363347,-1.3596387111703567,False,True,False,True,0,[CLS],8,6,24,22,1,3,3,71,51,277,277,1.0139133563730336,0.360671270320571,0.5100856049831737,0.08040603593170388,0.0836524006818831,1.6019225522864784,2.958455536764676,5.316983656587836,4.509852892206166,2.999617582962472,2.4121990703172558,1.0139133563730338,0.5348731162573912,0.5275333566668944,0.8041688660639613,1.5243943456850297,0.5910180858695833,5.075339747935194,4.081430209987758,0.5100856049831736,denom_overestimate_starvation
1,17,rec.autos,9,6,128,8,0.0625,8.0,0.6218919579594975,0.15900556713727948,0.17076021952198267,8.0,1.0,66.0,0.17076021952198267,0.15413253146184563,0.7233928220418322,8.0,1.0,17.0,1.548723867730741,0.4138683134391882,2.1121408328941254,8.0,1.0,22.0,0.949675860266663,0.37056636692713457,0.3910399703895035,8.0,1.0,40.0,0.5231343522820009,0.18805192982967506,0.5544386436499968,8.0,1.0,29.0,0.6417440925065534,0.2278089985953805,-2.054459553170225,-0.7265813383967132,0.2189107909355734,-0.044005182645347383,False,True,True,True,39,-,8,16,6,2,5,2,14,76,49,560,560,0.6417440925065534,0.2561857948460484,0.16175231037844406,0.31427445672482957,0.6417440925065534,0.3546866404052825,5.167920186395463,2.237381756563782,3.487935826319203,3.3164822501652975,1.920752384968685,0.6417440925065536,0.5506845540203337,0.8581061523583123,0.5791535247542402,0.6749206064560576,0.882513231041144,3.757997198809905,2.176457323707974,0.1617523103784441,numerator_underestimate_starvation
1,17,rec.autos,9,6,128,16,0.125,16.0,0.49319677579307175,0.10937114592193087,0.11179921609319866,16.0,2.0,83.0,0.11179921609319855,0.10487676320903766,0.4750475884466838,16.0,1.0,33.0,0.9372399222918935,0.3144501872354321,1.4836455939184587,16.0,1.0,38.0,0.8885776596338042,0.2984930900237275,0.294182150211861,16.0,2.0,47.0,0.3763104636161263,0.145705676192977,0.3733665206677592,16.0,2.0,41.0,0.5414107110834852,0.16619436459262282,-1.1642527205686506,-1.0366633812546229,0.3064684322283678,-0.12641385363963414,False,True,True,True,114,-,16,31,27,3,5,3,28,82,44,876,876,0.5414107110834852,0.16868062431496175,0.11152844283982503,0.12562498221102952,0.5414107110834852,0.37367158915754384,5.423133493997349,2.6091335321665534,3.5562668395882193,2.9361425612863106,1.3176447635870874,0.541410711083485,0.37051346904533383,0.6843482433200636,0.4487672979371221,0.655758675961758,0.8976307083262925,3.2709916606585283,1.4679140891290876,0.11152844283982506,numerator_underestimate_starvation
1,17,rec.autos,10,9,128,8,0.0625,8.0,0.3136015910857058,0.17067747343864162,0.19261025151765557,8.0,1.0,15.0,0.19261025151765554,0.17664153742615152,0.6473650948606742,8.0,1.0,18.0,1.460795704343227,0.3648509194017261,1.4776150964152526,8.0,1.0,25.0,0.7661393077040558,0.29373936003362017,0.310643218356785,8.0,1.0,17.0,0.3478992003626551,0.19314814713596595,0.35542885346360026,8.0,1.0,22.0,0.44312026444515035,0.22308900900961914,-9.481621720638067,-3.740248832965645,-0.28347160548345685,-1.0704788774290592,False,True,True,True,62,-,8,11,17,4,14,4,7,53,47,266,266,0.44312026444515035,0.24190735234990515,0.18254600337018462,0.15509172957595416,0.44312026444515035,0.1636798917664254,5.499680888179704,3.2296922385500944,3.8699749035048447,2.4370200495345733,1.323147877685859,0.44312026444515046,0.3419008935916374,0.7715758475161915,0.5429368042901466,0.7036726279558801,0.8971160399967035,2.7165048231035174,1.4748904474951992,0.18254600337018465,numerator_underestimate_starvation
1,17,rec.autos,10,9,128,16,0.125,16.0,0.1828419316050166,0.10900528675379029,0.12147171705738467,16.0,1.0,28.0,0.1214717170573847,0.11325694990717206,0.4236116843984299,16.0,1.0,35.0,0.8480580636255671,0.23498444979902583,1.103307914048445,16.0,1.0,39.0,0.5942293641548054,0.16988794517042466,0.2180060153323257,16.0,1.0,35.0,0.24875623986801293,0.12204827658256695,0.25751247403455335,16.0,1.0,36.0,0.24875623986801293,0.1282436147502039,-10.839397204718086,-6.7033728915921325,-1.0740439600685698,-1.0740439600685698,True,True,True,True,37,-,16,4,1,3,2,2,2,82,30,179,179,0.24875623986801293,0.04490162373880478,0.0870422400066846,0.27483261043691326,0.15250105208637213,0.24875623986801293,5.2661593011027445,6.497864528582015,5.541930491916744,1.3099899862885307,1.240456366962786,0.24875623986801298,0.22383109437620088,0.8998009235630154,0.9469204955347066,1.0523666632635287,0.28445987057950495,4.6051837948874965,4.360742921086597,0.08704224000668458,mild_score_miscalibration_starvation
1,17,rec.autos,10,9,128,32,0.25,32.0,0.10919105360204522,0.05738955893973663,0.056366183621319434,32.0,1.0,52.0,0.05636618362131944,0.05404282778010505,0.1772635589474003,32.0,1.0,59.0,0.2635332887467545,0.09594645619444125,0.58857040754111,32.0,1.0,62.0,0.2617731749399895,0.08638130743555891,0.11747965274961046,32.0,1.0,59.0,0.1200609997411771,0.05756000347592944,0.12876739362409875,32.0,1.0,60.0,0.1200609997411771,0.05886046951889912,-2.9217721728614605,-2.8884523784652365,-0.20577326821813283,-0.20577326821813283,True,True,True,True,115,-,32,36,15,15,15,15,21,83,38,288,288,0.1200609997411771,0.06250063003155462,0.05547391202687508,0.1200609997411771,0.1200609997411771,0.1200609997411771,4.649349617012217,5.011369459415683,4.6879077848656765,0.5582055631648652,0.5847864534759306,0.120060999741177,0.12474359145111935,1.0390017717576723,1.0476184618428233,1.008293239061086,0.17604072933251247,3.170888721498678,3.321881565097152,0.055473912026875176,mild_score_miscalibration_starvation
1,17,rec.autos,11,5,128,8,0.0625,8.0,0.5904929297470921,0.2856959079586058,0.3010930687696271,8.0,1.0,46.0,0.3010930687696271,0.23746525363651672,0.5411032699970841,8.0,2.0,15.0,0.9591846865135925,0.4112837206800453,1.1406306339435162,8.0,2.0,18.0,0.9440150812279691,0.38915527260473093,0.4048739025441649,8.0,1.0,36.0,0.5495532548715476,0.2627603218413784,0.45813037163946707,8.0,2.0,26.0,0.6043797190741237,0.2992279847262014,-1.273987331995331,-1.2215698732087679,0.14146404472092128,-0.047984782301304964,False,True,True,True,61,-,8,13,12,8,9,7,6,50,61,245,245,0.6043797190741237,0.5291771575758397,0.29833908390032726,0.33167189080840065,0.5291771575758397,0.46545973279140535,4.174384021935707,1.687486162224684,2.9375471208931945,2.5229130424856168,1.3430857044976485,0.6043797190741235,0.4572133311307738,0.7565001218612084,0.5323551315006423,0.7037079256379287,0.6724391781383275,3.75188288325257,1.9973341056897225,0.298339083900327,numerator_underestimate_starvation
1,17,rec.autos,11,6,128,8,0.0625,8.0,0.8986253536939149,0.7713960833828213,0.8131957483808724,8.0,1.0,12.0,0.8131957483808725,0.7864490990774171,0.1334241047216922,8.0,4.0,56.0,1.135640468829557,0.8038836737543178,0.4386017211821452,8.0,4.0,74.0,1.135640468829557,0.8098888952065915,1.6277888474857793,8.0,1.0,16.0,1.286780034482168,0.7849409996059407,0.8370804692111785,8.0,4.0,23.0,0.9552970219775935,0.772986563254709,-2.774390848080591,-2.774390848080591,-4.543561677078168,-0.6633727040645303,True,True,True,True,30,summary,8,6,4,4,4,4,2,61,41,105,105,0.9552970219775935,0.6901194813659031,0.7596837492659126,0.9552970219775935,0.9552970219775935,0.9552970219775935,0.22222473641148024,0.20539485716822486,0.2642292856202983,0.21229062890459804,0.2009580185105532,0.9552970219775934,0.7605440783674999,0.796133622182005,0.9466174722197264,1.1890183329089508,0.06273445345143447,3.38395597992962,3.203311855838893,0.7596837492659125,mild_score_miscalibration_starvation
