doc_num,doc_idx,category,layer,head,tokens,budget,budget_frac,H_mean,frac_H_ge_090,mu_s_norm_cv,full_norm_cv,mass_gap,UTC_abs_gap,UTC_rel_gap,predicted,actual,correct,delta_rel_abs,oracle_mean_k,mass_mean_k,abs_mean_k,rel_mean_k,budget_ok
0,13,sci.space,0,0,128,8,0.0625,0.9666764908942366,0.9609375,0.1974766816673414,0.09410880046039409,-0.00813896592528256,0.3111468602700168,0.2500030094251036,abs,abs,True,-0.061143850844913195,9.984375,7.796875,7.8203125,8.484375,True
0,13,sci.space,0,0,128,16,0.125,0.9666764908942366,0.9609375,0.20609250583066846,0.09410880046039409,0.10907960025408425,0.3763564029985217,0.4325496969655102,abs,rel,False,0.05619329396698852,19.734375,16.59375,16.6953125,15.8671875,False
0,13,sci.space,0,0,128,24,0.1875,0.9666764908942366,0.9609375,0.20137479232020525,0.09410880046039409,0.05090378904707716,0.5350637124256132,0.5948877125682366,abs,rel,False,0.059824000142623346,19.734375,24.375,24.8359375,22.3359375,False
0,13,sci.space,0,1,128,8,0.0625,0.8554423756255443,0.234375,0.1906384406466585,0.252564604743478,0.3441319810526164,0.38560048909707983,0.0381813233124329,abs,abs,True,-0.34741916578464693,7.078125,7.4296875,7.5859375,7.953125,True
0,13,sci.space,0,1,128,16,0.125,0.8554423756255443,0.234375,0.19588164007685438,0.252564604743478,0.7222338228013965,0.43749003917603585,0.5567040101321348,abs,rel,False,0.11921397095609892,16.984375,16.2265625,15.84375,16.890625,True
0,13,sci.space,0,1,128,24,0.1875,0.8554423756255443,0.234375,0.197182678369692,0.252564604743478,0.6539732910764757,0.5128839718013904,0.5244926251304269,abs,rel,False,0.011608653329036489,30.7734375,24.953125,25.0390625,24.5703125,False
0,13,sci.space,0,2,128,8,0.0625,0.4536419171204019,0.0,0.43481882862328286,0.4739384931003813,0.7100089496185367,0.3664450812014973,0.8629423616917178,abs,rel,False,0.49649728049022046,12.8828125,8.2421875,9.6328125,9.3359375,False
0,13,sci.space,0,2,128,16,0.125,0.4536419171204019,0.0,0.4504585586817664,0.4739384931003813,0.8717415239003062,0.5279995167624165,0.9179893291631215,abs,rel,False,0.38998981240070496,12.8828125,16.9453125,16.640625,13.828125,False
0,13,sci.space,0,2,128,24,0.1875,0.4536419171204019,0.0,0.45810137989432886,0.4739384931003813,1.0198148887457263,1.0786474434192297,1.1557017931187263,abs,rel,False,0.07705434969949665,12.8828125,22.640625,35.9453125,21.9609375,False
0,13,sci.space,0,3,128,8,0.0625,0.38366162960468875,0.0,0.2529271593981671,0.2739045049384542,0.8936040017683297,0.8351703157412039,1.0113150067002434,abs,rel,False,0.1761446909590395,6.5703125,8.15625,7.2578125,8.0078125,True
0,13,sci.space,0,3,128,16,0.125,0.38366162960468875,0.0,0.26314263727884507,0.2739045049384542,0.9662376635524774,0.9411145954209318,1.0709636960297997,abs,rel,False,0.1298491006088679,6.5703125,17.625,11.7421875,12.734375,False
0,13,sci.space,0,3,128,24,0.1875,0.38366162960468875,0.0,0.26753778087559005,0.2739045049384542,1.0996427952032537,1.12128997432141,1.1803709751779266,abs,rel,False,0.059081000856516575,6.5703125,35.4453125,27.3984375,28.9296875,False
0,13,sci.space,0,4,128,8,0.0625,0.9559001222112884,0.9765625,0.23075102957690563,0.12478118959172003,0.0,0.8216345916002213,-0.01810562204327089,abs,abs,True,-0.8397402136434923,7.03125,8.53125,8.2265625,7.4609375,True
0,13,sci.space,0,4,128,16,0.125,0.9559001222112884,0.9765625,0.20207224036154942,0.12478118959172003,-0.41501566686200914,0.8899998246227021,-0.5230644960041003,abs,abs,True,-1.4130643206268023,12.109375,17.125,16.4609375,16.796875,False
0,13,sci.space,0,4,128,24,0.1875,0.9559001222112884,0.9765625,0.1930435947145516,0.12478118959172003,-0.09007891375554929,0.5579886406398529,0.16650950963540018,abs,abs,True,-0.3914791310044527,21.8125,24.984375,21.1484375,23.2578125,False
0,13,sci.space,0,5,128,8,0.0625,0.8240008938640022,0.03125,0.2183941200863015,0.26835882259737864,0.2770352239675155,-0.35313105288646335,0.5510904593647812,abs,rel,False,0.9042215122512445,7.2578125,8.453125,7.9140625,8.6875,True
0,13,sci.space,0,5,128,16,0.125,0.8240008938640022,0.03125,0.22812162254578308,0.26835882259737864,0.5803669065454737,-0.8124366818635712,0.9905973861203791,abs,rel,False,1.8030340679839503,12.0078125,16.0234375,15.3671875,15.59375,False
0,13,sci.space,0,5,128,24,0.1875,0.8240008938640022,0.03125,0.2323828915075465,0.26835882259737864,0.5127072133798141,-0.16776168386983156,0.5970448476351004,abs,rel,False,0.7648065315049319,23.1796875,22.84375,25.8046875,22.421875,True
0,13,sci.space,0,6,128,8,0.0625,0.9180477997659044,0.7890625,0.17909256921989977,0.19777262013733662,-0.6617096024887289,0.63402503201196,-0.21419675708999683,abs,abs,True,-0.8482217891019569,9.0,7.3203125,8.5546875,8.6015625,True
