doc_idx,category,layer,head,tokens,budget,fixed_max_rel,oracle_max_rel,mass_max_rel,mass_gap,UTC_abs_max_rel,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_gap
82,comp.graphics,0,0,128,8,0.9481711072292118,0.7346012273866841,1.1556443973666048,-0.9714538880218974,0.8714903617451784,0.35904288348419156,1.5782271707265543,-2.950116673577304,0.7681014575363344,0.8431415976150234
82,comp.graphics,0,0,128,16,0.712995395882061,0.5249576007302786,0.7820083156060762,-0.36701621431111053,0.659224903234573,0.2859557707751518,1.0138291770867118,-1.5998580549289079,0.5476484303069945,0.8793283575868349
82,comp.graphics,0,0,128,32,0.43352761546017915,0.26472594265582783,0.5307364493309564,-0.5758760103251267,0.35877441220181416,0.442846341605911,0.28480500414586113,0.8810493927195506,0.27004226298269707,0.968505523443295
82,comp.graphics,0,1,128,8,0.2659930936505681,0.22026489456747028,0.2339732936050193,0.7002200105751385,0.2339732936050193,0.7002200105751385,0.2339732936050193,0.7002200105751385,0.23211477253283103,0.7408627891986954
82,comp.graphics,0,1,128,16,0.207912524533033,0.14815983053753104,0.14989971263273502,0.9708819472585628,0.15028526607449447,0.9644294609189767,0.14989971263273502,0.9708819472585628,0.14989971263273502,0.9708819472585628
82,comp.graphics,0,1,128,32,0.13431383223511567,0.04346333155836321,0.04555627661664353,0.9769627570273163,0.04629469069769876,0.9688349638335009,0.04639422898183623,0.9677393365843827,0.04639422898183623,0.9677393365843827
82,comp.graphics,0,2,128,8,0.9219906182914105,0.4028582291973909,1.5057162330949385,-1.1244253432582685,0.54594543536752,0.7243724160231221,0.6002571274145738,0.6197522975561592,0.42776708840531225,0.952018291034794
82,comp.graphics,0,2,128,16,0.7551264072625152,0.1934718906037117,1.019123320610978,-0.47003434588034626,0.3036563548112751,0.8038216360067149,0.2320988142338173,0.9312265414335289,0.21970659571400997,0.9532903157863584
82,comp.graphics,0,2,128,32,0.44072021121748534,0.09326498325932281,0.5616807507322653,-0.3481327370597082,0.18273854190585573,0.7424889555631997,0.12390290638937816,0.9118219538381949,0.13719677382935283,0.8735612906785218
82,comp.graphics,0,3,128,8,0.010834014268899394,0.0009322831206930806,0.002297923816591644,0.8620806124244298,0.0020021271318155886,0.8919538416960241,0.002025032519973822,0.8896405706310566,0.002025032519973822,0.8896405706310566
82,comp.graphics,0,3,128,16,0.00032807007902908343,2.5713899984733754e-05,5.1728497147642135e-05,0.9139604249361394,3.632703749270449e-05,0.9648985592372696,3.802997403849569e-05,0.9592663391477921,3.802997403849569e-05,0.9592663391477921
82,comp.graphics,0,3,128,32,1.1056532106659918e-05,3.186110429099941e-07,4.629040383120092e-07,0.9865622968780118,4.066129720761254e-07,0.9918045654607002,4.066129720761254e-07,0.9918045654607002,4.066129720761254e-07,0.9918045654607002
82,comp.graphics,0,4,128,8,0.13403628444771437,0.011236423762818698,0.07293876755582836,0.4975373469572753,0.03851764047982984,0.7778400027096553,0.0385196925935329,0.7778232916670561,0.0385196925935329,0.7778232916670561
82,comp.graphics,0,4,128,16,0.03239688529326818,0.0028167686586991563,0.013761240281606246,0.6300057988913826,0.006361768323905174,0.8801559943457719,0.006177626400803991,0.8863811869430851,0.006177626400803991,0.8863811869430851
82,comp.graphics,0,4,128,32,0.002120515864072724,0.00044532411731968005,0.0014130198322622179,0.4223373432813389,0.0006680179967999532,0.8670636481394373,0.000639682746615214,0.8839782791001379,0.000639682746615214,0.8839782791001379
82,comp.graphics,0,5,128,8,0.46089682818626904,0.15743614812964582,0.6031947916448875,-0.4689173023406753,0.28786545002536723,0.570193733595455,0.2358151495822278,0.7417161213836432,0.24840968539312608,0.7002130976358936
82,comp.graphics,0,5,128,16,0.38018621243193296,0.10506953247038874,0.6031947916448875,-0.8105963594941852,0.22389853842530455,0.568077784409416,0.17923341659400868,0.7304275257538491,0.19334098985884912,0.6791490163344551
82,comp.graphics,0,5,128,32,0.24840968539312608,0.03637905227836686,0.21229945913760645,0.17030664732286757,0.12772461222075304,0.5691869679370979,0.10258363471723046,0.6877593512488777,0.10600691118658849,0.6716141536466745
82,comp.graphics,0,6,128,8,1.2649838075415916,0.97434373558422,1.6748797028568245,-1.4103213385363902,1.1813052975138307,0.2879111247950491,2.610856968384684,-4.630721262140663,1.0073147566944325,0.8865572084118932
82,comp.graphics,0,6,128,16,1.0300006133054107,0.5540752982878632,1.195820718188756,-0.3484162318140848,0.793860566907182,0.49617038419047355,0.793860566907182,0.49617038419047355,0.5754166617373216,0.9551581670988197
82,comp.graphics,0,6,128,32,0.6614857720603489,0.27925944347763804,0.8858083149280505,-0.5868840686602779,0.496270325152197,0.4322450719728495,0.3991403597165574,0.6863614375193987,0.2915729286291939,0.9677848326220383
82,comp.graphics,0,7,128,8,0.18009905071698873,0.03152370378073126,0.10730954333125074,0.4899164557695195,0.14003055865805725,0.26968466091566234,0.1427198069573279,0.2515844285774912,0.1427198069573279,0.2515844285774912
82,comp.graphics,0,7,128,16,0.05456238794146233,0.00929946903040083,0.022344959617481078,0.7117841513333745,0.015811877501701654,0.8561204485265907,0.01986968397313601,0.7664707624467411,0.01986968397313601,0.7664707624467411
82,comp.graphics,0,7,128,32,0.004607433617151155,0.00046177601338323035,0.0014287596518635646,0.766747828474436,0.0008262364168190108,0.912086226536285,0.0010832205391098622,0.8500974790677815,0.0010832205391098622,0.8500974790677815
82,comp.graphics,0,8,128,8,1.2814928114547892,0.4893549318359594,1.7174353637854813,-0.5503367072162538,0.6170414344836137,0.8388077304053481,0.6857338426008867,0.7520899886022074,0.5068199756867185,0.9779520152992012
82,comp.graphics,0,8,128,16,0.8328320843938767,0.24461801136009295,1.1340523722308087,-0.5120929635079159,0.36162414068291066,0.8010824040313338,0.29721551563702114,0.9105810168640639,0.2726972841367498,0.9522635141457351
82,comp.graphics,0,8,128,32,0.5330955450396737,0.11271650761525111,0.45172999785140555,0.1935528176827713,0.20443954448879512,0.7818087280576298,0.14686705516891715,0.9187624869144294,0.15787365995059371,0.8925799140413581
82,comp.graphics,0,9,128,8,0.7533650072996414,0.446574849016746,0.7751161188151399,-0.07089898723361741,0.5256444887290099,0.7422680044405051,0.5561349433343269,0.6428826304898801,0.49708615924620286,0.8353555064733215
